AAPL
GOOGL
AMZN
MSFT
NFLX
FB
ORCL
NVDA
BRK
JPM
HD
JNJ
UNH
PG
BAC
V
ADBE
CRM
PFE
DIS
MA
XOM
TMO
COST
CMSA
CSCO
ACN
AVGO
CVX
PEP
PYPL
ABT
NKE
KO
VZ
WFC
ABBV
WMT
MRK
LLY
QCOM
INTC
DHR
MCD
AMD
INTU
TXN
LOW
T
NEE
